file_name,true_label,pred_label,confidence
Egg-IF-31Jan-0565',0,1,0.5254214410251569
Egg-IF-19Dec-0380',0,1,0.7032115790676166
Egg-IF-24Jan-0436',0,1,0.6001272479839189
Egg-F-09Dec-0207',1,0,0.16346034716178026
Egg-IF-30Jan-0541',0,1,0.913918374014605
Egg-IF-23Jan-0428',0,1,0.6717866088060074
Egg-IF-27Jan-0472',0,1,0.8010720762794241
Egg-IF-27Jan-0461',0,1,0.5347400956186931
Egg-IF-27Jan-0460',0,1,0.5872856822353284
Egg-IF-27Jan-0477',0,1,0.7445102306042295
Egg-F-25Nov-0005',1,0,0.31367667984630226
Egg-F-26Nov-0047',1,0,0.3298267219137415
Egg-F-18Dec-0348',1,0,0.4667188281330639
Egg-F-25Nov-0001',1,0,0.08482125483666912
Egg-IF-31Jan-0563',0,1,0.5172206903185389
Egg-IF-16Dec-0289',0,1,0.7243976755147212
Egg-IF-22Jan-0393',0,1,0.5755890173039684
Egg-IF-05Dec-0157',0,1,0.5228381363872026
Egg-IF-23Jan-0414',0,1,0.890013388547494
Egg-IF-31Jan-0576',0,1,0.5740195622867703
Egg-F-26Nov-0034',1,0,0.4284834164442372
Egg-IF-22Jan-0386',0,1,0.8441697870473605
Egg-IF-27Jan-0476',0,1,0.8368707205357946
Egg-F-10Dec-0239',1,0,0.07264726520067608
Egg-F-27Jan-0478',1,0,0.4375253246627556
Egg-IF-28Jan-0490',0,1,0.6077105093090668
Egg-F-19Dec-0369',1,0,0.39904247680214033
Egg-IF-12Dec-0270',0,1,0.8638767992510842
Egg-IF-28Jan-0499',0,1,0.5046695389034941
Egg-IF-03Feb-0581',0,1,0.8323962174665498
Egg-F-25Nov-0023',1,0,0.023108711609529934
Egg-IF-28Jan-0485',0,1,0.9394106538839729
Egg-IF-22Jan-0392',0,1,0.828451670260027
Egg-IF-22Jan-0390',0,1,0.9766088310573352
