num_leds,wavelengths,auc_mean,auc_std,balanced_acc
4,"[np.int64(530), np.int64(610), np.int64(670), np.int64(950)]",0.8838224759051707,0.01917272524859704,0.8160834590894824
4,"[np.int64(530), np.int64(610), np.int64(670), np.int64(930)]",0.8817465128643882,0.018821174524449067,0.8127585524929813
4,"[np.int64(530), np.int64(610), np.int64(670), np.int64(910)]",0.8798934137333789,0.019774685337614735,0.8127125493888467
4,"[np.int64(530), np.int64(610), np.int64(670), np.int64(890)]",0.8790497779382871,0.02053331328244807,0.815931476871617
4,"[np.int64(530), np.int64(610), np.int64(690), np.int64(830)]",0.8788103580143256,0.02035461097668617,0.8111063101641065
4,"[np.int64(530), np.int64(570), np.int64(690), np.int64(930)]",0.8787730829514511,0.025769062695647747,0.8125401452322298
4,"[np.int64(530), np.int64(570), np.int64(690), np.int64(950)]",0.878583281260448,0.026532523599148206,0.8125732502697846
4,"[np.int64(530), np.int64(610), np.int64(670), np.int64(850)]",0.878329173619476,0.02148371962383102,0.8152372384379583
4,"[np.int64(530), np.int64(610), np.int64(670), np.int64(870)]",0.8782328942712624,0.021149400743090106,0.8167907030736092
4,"[np.int64(530), np.int64(610), np.int64(690), np.int64(810)]",0.8781356431987918,0.020454401550061643,0.8111598371404126
4,"[np.int64(530), np.int64(610), np.int64(690), np.int64(850)]",0.8780780449425265,0.019948190105755496,0.8118465517018999
4,"[np.int64(530), np.int64(610), np.int64(670), np.int64(830)]",0.877799911594065,0.021382810885829547,0.8145302094216078
4,"[np.int64(530), np.int64(610), np.int64(690), np.int64(870)]",0.8776094588827638,0.020683090566377012,0.8126663313169356
4,"[np.int64(530), np.int64(570), np.int64(670), np.int64(950)]",0.8767213806845475,0.026045103758225243,0.8150318367276747
4,"[np.int64(530), np.int64(610), np.int64(690), np.int64(950)]",0.8766199901716034,0.02112669764953904,0.8125999062740494
4,"[np.int64(530), np.int64(610), np.int64(670), np.int64(810)]",0.876381120774874,0.02184433628963362,0.8145567579419846
4,"[np.int64(530), np.int64(570), np.int64(690), np.int64(910)]",0.8760957694027031,0.026188313670377453,0.810947234009622
4,"[np.int64(530), np.int64(610), np.int64(690), np.int64(790)]",0.876054835518367,0.020125531471681894,0.8070080569922569
4,"[np.int64(530), np.int64(610), np.int64(670), np.int64(790)]",0.875426044286368,0.021007418782964426,0.8153298895495567
4,"[np.int64(530), np.int64(570), np.int64(670), np.int64(930)]",0.8753183174671385,0.026137996989340672,0.8136175637271972
4,"[np.int64(530), np.int64(570), np.int64(690), np.int64(890)]",0.8751505595855896,0.02659729324428429,0.8134792319631288
4,"[np.int64(530), np.int64(570), np.int64(690), np.int64(870)]",0.8750121098514001,0.02739562595586786,0.8111527432037938
4,"[np.int64(530), np.int64(590), np.int64(670), np.int64(930)]",0.874820122654671,0.025008988723916742,0.8077147635569426
4,"[np.int64(530), np.int64(610), np.int64(690), np.int64(930)]",0.8747155923887984,0.021610223279313126,0.8054018177675168
4,"[np.int64(530), np.int64(570), np.int64(690), np.int64(850)]",0.874578278663183,0.02734776038335432,0.8119194257780759
4,"[np.int64(530), np.int64(590), np.int64(670), np.int64(950)]",0.8745755906921261,0.024315743894068997,0.8062875924898858
4,"[np.int64(530), np.int64(610), np.int64(690), np.int64(890)]",0.8744587880382422,0.02103270559160869,0.8062683528739043
4,"[np.int64(530), np.int64(590), np.int64(690), np.int64(830)]",0.8743116312352583,0.02533460104158163,0.8103268370071326
4,"[np.int64(530), np.int64(570), np.int64(690), np.int64(830)]",0.874194516615943,0.02757077167059958,0.8085548576268418
4,"[np.int64(530), np.int64(610), np.int64(690), np.int64(710)]",0.8740935717679008,0.019589382569982387,0.817815454463376
