file_name,true_label,pred_label,confidence
Egg-F-28Jan-0496,1,0,0.0587596093843617
Egg-F-03Dec-0119,1,0,0.38635646804321633
Egg-IF-23Jan-0410,0,1,0.9293578888248321
Egg-F-16Dec-0294,1,0,0.21364932865459837
Egg-IF-27Jan-0457,0,1,0.9525268583811296
Egg-IF-03Feb-0581,0,1,0.862371901438367
Egg-IF-31Jan-0574,0,1,0.887447429421647
Egg-F-18Dec-0351,1,0,0.11793725358246762
Egg-IF-27Nov-0055,0,1,0.5048222118168073
Egg-IF-12Dec-0274,0,1,0.6090824985172427
Egg-F-25Nov-0017,1,0,0.004666697181001898
Egg-IF-19Dec-0370,0,1,0.7139816787781414
Egg-F-09Dec-0212,1,0,0.1595497793751778
Egg-IF-30Jan-0534,0,1,0.8743205289088741
Egg-IF-04Dec-0130,0,1,0.6849167096422224
Egg-IF-29Jan-0526,0,1,0.6517185500828604
Egg-IF-16Dec-0304,0,1,0.9427699315138711
Egg-F-25Nov-0024,1,0,0.031049037480875185
Egg-IF-02Dec-0074,0,1,0.7395493626391693
Egg-F-03Feb-0587,1,0,0.0034733466074848974
Egg-F-29Jan-0526,1,0,0.2068912596339862
Egg-F-22Jan-0404,1,0,0.016720690245846537
Egg-IF-23Jan-0428,0,1,0.8760881760751501
Egg-F-25Nov-0028,1,0,0.4758324851443997
Egg-IF-22Jan-0397,0,1,0.5249601174483709
Egg-F-10Dec-0238,1,0,0.03070055155174029
Egg-IF-12Dec-0283,0,1,0.637927553415567
Egg-F-26Nov-0040,1,0,0.2555283003553737
Egg-IF-23Jan-0409,0,1,0.6882977004898893
Egg-F-09Dec-0202,1,0,0.04388151024347963
Egg-IF-03Dec-0120,0,1,0.7282927793356572
Egg-F-27Jan-0464,1,0,0.18206885805051415
Egg-IF-23Jan-0422,0,1,0.9418264546437511
Egg-IF-23Jan-0420,0,1,0.9309679690133139
Egg-F-16Dec-0295,1,0,0.03843055043699473
Egg-F-12Dec-0287,1,0,0.42113738093829634
Egg-F-31Jan-0559,1,0,0.23293191535765062
Egg-IF-27Jan-0475,0,1,0.6239825419178904
