feature,importance
684.85nm_mean,0.05479940740356511
682.71nm_mean,0.05362094487205222
680.57nm_mean,0.05236581382826696
519.78nm_median,0.03292554292076565
513.35nm_median,0.03177296643087164
521.92nm_median,0.03162714934028358
515.49nm_median,0.031453778580041974
517.64nm_median,0.031234215483792623
524.07nm_median,0.030138691963869944
509.06nm_median,0.02942029044431903
511.20nm_median,0.028428744350344773
858.50nm_median,0.020013901152582825
929.25nm_median,0.018799081385880923
935.68nm_median,0.018648870739439646
933.54nm_median,0.018600209704695007
854.21nm_median,0.018443085292360727
860.65nm_median,0.01836000540144963
856.36nm_median,0.01792663617313811
931.39nm_median,0.01772856411534909
927.10nm_median,0.017590525994197543
862.79nm_median,0.017588558060569026
867.08nm_median,0.01684851469450863
897.09nm_median,0.016527612338081272
920.67nm_median,0.016522636529755722
924.96nm_median,0.01652033915272713
869.22nm_median,0.016393402579972134
873.51nm_median,0.016238830354520936
864.93nm_median,0.015602930470664156
918.53nm_median,0.015280072326436878
916.38nm_median,0.014769376375107118
912.10nm_median,0.014635441441134656
871.36nm_median,0.014611102823384212
875.65nm_median,0.01457997312675264
914.24nm_median,0.014262724414985424
888.52nm_median,0.014181839865293876
894.95nm_median,0.013422713539675645
877.80nm_median,0.013288443633074078
922.82nm_median,0.013279854424153512
879.94nm_median,0.013267507523291682
886.37nm_median,0.01320961574131305
882.08nm_median,0.012884656941004243
907.81nm_median,0.012869453247969313
890.66nm_median,0.012684045363228938
903.52nm_median,0.012662020890801307
884.23nm_median,0.012592101186958466
905.67nm_median,0.012534364060793578
892.80nm_median,0.012530360742196092
901.38nm_median,0.012399022672688269
909.95nm_median,0.01223064581699422
899.23nm_median,0.011683414084696897
