feature,score
674.13nm_mean,118.62762293165912
826.34nm_median,118.55637747385322
824.20nm_median,118.34370895364556
819.91nm_median,117.9685525808758
822.06nm_median,117.94003339687033
817.77nm_median,117.7770154129597
809.19nm_median,117.70506320134368
796.33nm_median,117.67774827773088
792.04nm_median,117.65253459224463
811.34nm_median,117.6466511322445
794.19nm_median,117.64224364462785
798.47nm_median,117.62210978057715
783.47nm_median,117.61593194545245
807.05nm_median,117.60725661144474
804.91nm_median,117.60631211135573
789.90nm_median,117.60016022039076
785.61nm_median,117.59851434618956
800.62nm_median,117.5957750237204
787.76nm_median,117.57052653085503
774.89nm_median,117.56652964162912
815.63nm_median,117.56588408121331
802.76nm_median,117.53409170139976
813.48nm_median,117.52877934646396
777.04nm_median,117.52238755691388
779.18nm_median,117.48236123491874
781.32nm_median,117.47432925768668
684.85nm_q25,117.45411931767201
687.00nm_q25,117.35130650084166
772.75nm_median,117.304073271755
500.48nm_median,117.25764129534444
693.43nm_mean,117.19304186301981
678.42nm_q25,116.9015127225395
770.61nm_median,116.79887893197946
676.28nm_q25,116.3901555442968
768.46nm_median,116.24647292889554
532.64nm_median,116.145226135187
766.32nm_median,115.37943465952156
674.13nm_q25,115.36007853635208
498.34nm_median,115.16783404614335
671.99nm_mean,114.95596671395623
695.57nm_mean,114.8597919900006
764.17nm_median,114.65229399306433
762.03nm_median,113.91076433512728
689.14nm_q25,113.85924250546381
759.89nm_median,113.11098256333749
691.28nm_q25,113.05479040667153
671.99nm_q25,112.87883948797706
697.72nm_mean,112.74437368158388
757.74nm_median,112.46991310716689
496.20nm_median,112.26311056835159
939.97nm_median,112.24362405746436
534.79nm_median,112.21011625531415
755.60nm_median,112.1749641509364
494.05nm_median,111.86081033541308
753.45nm_median,111.66146465328694
669.85nm_mean,111.38443849336109
667.70nm_q25,111.38396191117734
669.85nm_q25,111.38159597833614
699.86nm_mean,110.74016668942701
751.31nm_median,110.7277963438962
749.17nm_median,109.62617348874359
491.91nm_median,108.83924091505578
702.00nm_mean,108.70631848464947
693.43nm_q25,108.67753411776226
747.02nm_median,108.55289833364917
663.41nm_q25,108.43469905813839
665.56nm_q25,108.3590216142394
536.93nm_median,108.34324433272855
942.11nm_median,108.09134120622564
667.70nm_mean,107.86564922203007
489.77nm_median,107.77990406024773
744.88nm_median,107.30865994591176
704.15nm_mean,106.75764025680927
695.57nm_q25,106.19262470202436
742.74nm_median,106.08906563460202
487.62nm_median,105.86324954242615
697.72nm_min,105.7372855045252
539.07nm_median,105.11234865187188
706.29nm_mean,104.89435944459159
740.59nm_median,104.81833411135703
697.72nm_q25,104.6621091046252
661.27nm_q25,104.46140076108688
485.48nm_median,104.25823513228293
665.56nm_mean,104.23895266711264
948.54nm_q25,104.11623020081777
699.86nm_min,103.77232733362588
738.45nm_median,103.5491892804912
699.86nm_q25,103.11446671413017
952.83nm_q25,103.08486722882864
708.43nm_mean,102.96370556255636
476.90nm_median,102.82432966117074
659.13nm_q25,102.60594692026525
736.30nm_median,102.43838335699965
702.00nm_q25,102.00297194383036
695.57nm_min,101.95760813462623
959.26nm_q25,101.92620891587163
541.22nm_median,101.85520366440996
702.00nm_min,101.63034488333192
950.69nm_q25,101.59613485920761
532.64nm_skew,101.59577438027581
734.16nm_median,101.49219036098238
483.33nm_median,101.36367006222963
481.19nm_median,101.1895714522891
656.98nm_q25,101.01827892200414
710.58nm_mean,100.98824409912446
534.79nm_skew,100.94547191934646
530.50nm_skew,100.66227067795494
732.02nm_median,100.65840754988498
663.41nm_mean,100.27147271489589
944.25nm_median,100.23648459363693
682.71nm_median,100.11733935236359
680.57nm_median,100.10763728372086
946.40nm_q25,99.99402070414345
729.87nm_median,99.80629486654999
684.85nm_median,99.8047620631309
678.42nm_median,99.71994919993465
543.36nm_median,99.44291240947922
687.00nm_median,99.23237168779352
676.28nm_median,99.10658239276849
727.73nm_median,99.08023778676562
712.72nm_mean,99.04271934682797
961.40nm_q25,98.8483209405958
536.93nm_skew,98.83949970854088
652.70nm_q25,98.78538444179823
474.76nm_median,98.67663766464713
963.55nm_q25,98.5811403351006
689.14nm_median,98.50095917996025
654.84nm_q25,98.46432140269779
725.59nm_median,98.45441262459418
650.55nm_q25,98.44638643814649
674.13nm_median,98.37088700141062
704.15nm_q25,98.29723095046117
528.35nm_skew,98.18444854295392
723.44nm_median,97.88064844647663
691.28nm_median,97.83400276546406
954.97nm_q25,97.71323906245317
671.99nm_median,97.69088548935514
704.15nm_min,97.61770079330245
706.29nm_q25,97.53328935706934
995.71nm_q25,97.47212610388142
721.30nm_median,97.46552017491825
545.51nm_median,97.3596339868111
