num_leds,wavelengths,auc_mean,auc_std,balanced_acc
4,"[np.int64(710), np.int64(750), np.int64(850), np.int64(870)]",0.9369734219269101,0.023604855715425803,0.9293825344091126
4,"[np.int64(730), np.int64(750), np.int64(850), np.int64(870)]",0.936798766018035,0.024697269359162596,0.9260047460844802
4,"[np.int64(710), np.int64(730), np.int64(850), np.int64(870)]",0.9365567157095397,0.023558785654983136,0.9259639297579497
4,"[np.int64(810), np.int64(850), np.int64(870), np.int64(890)]",0.9354209776934029,0.02382321098047199,0.9274114855244422
4,"[np.int64(850), np.int64(890), np.int64(930), np.int64(950)]",0.9350094921689607,0.018710416559155337,0.9297370669197912
4,"[np.int64(810), np.int64(850), np.int64(870), np.int64(910)]",0.9347873754152823,0.022693809609333735,0.9285453251067868
4,"[np.int64(670), np.int64(830), np.int64(850), np.int64(870)]",0.9342064546748933,0.020165448203609933,0.9291148552444233
4,"[np.int64(650), np.int64(830), np.int64(850), np.int64(870)]",0.934109159943047,0.019724498850528918,0.9291148552444233
4,"[np.int64(810), np.int64(830), np.int64(850), np.int64(870)]",0.9341058376839108,0.021488792376728228,0.9276672994779306
4,"[np.int64(790), np.int64(850), np.int64(870), np.int64(890)]",0.9340835310868535,0.024807601679448853,0.9215856668248694
4,"[np.int64(830), np.int64(850), np.int64(870), np.int64(950)]",0.934061699098244,0.023301057401387756,0.9270740389178928
4,"[np.int64(590), np.int64(810), np.int64(850), np.int64(870)]",0.9340522069292835,0.026016358855957055,0.9242486948267679
4,"[np.int64(690), np.int64(830), np.int64(850), np.int64(870)]",0.9340431893687707,0.020635287650599944,0.9299928808732794
4,"[np.int64(570), np.int64(810), np.int64(850), np.int64(870)]",0.9340289511153299,0.026099045076093518,0.9236672994779307
4,"[np.int64(550), np.int64(810), np.int64(850), np.int64(870)]",0.9340066445182724,0.02617771734589202,0.9251964878974845
4,"[np.int64(530), np.int64(810), np.int64(850), np.int64(870)]",0.9339572852396772,0.0259418986952525,0.9259928808732795
4,"[np.int64(710), np.int64(830), np.int64(850), np.int64(870)]",0.9339302325581395,0.021065393414439235,0.9299928808732794
4,"[np.int64(810), np.int64(850), np.int64(870), np.int64(930)]",0.9338006644518273,0.021304200236115196,0.9265742762221167
4,"[np.int64(710), np.int64(850), np.int64(870), np.int64(910)]",0.9337755102040817,0.024279129997995967,0.9259639297579497
4,"[np.int64(610), np.int64(810), np.int64(850), np.int64(870)]",0.9337489321309919,0.025700936072014575,0.9251556715709539
4,"[np.int64(750), np.int64(810), np.int64(850), np.int64(870)]",0.9337456098718556,0.024647860486255547,0.9231267204556242
4,"[np.int64(510), np.int64(810), np.int64(850), np.int64(870)]",0.9337403891789273,0.02564166734945359,0.927155671570954
4,"[np.int64(850), np.int64(870), np.int64(930), np.int64(950)]",0.9336782154722354,0.02018294347520332,0.9236264831514001
4,"[np.int64(790), np.int64(850), np.int64(870), np.int64(910)]",0.9336777408637875,0.023674498717645272,0.9247892738490744
4,"[np.int64(790), np.int64(830), np.int64(850), np.int64(870)]",0.9336601803512103,0.02135800149916207,0.9282486948267679
4,"[np.int64(770), np.int64(810), np.int64(850), np.int64(870)]",0.9336279069767442,0.024787665506605387,0.9225453251067869
4,"[np.int64(690), np.int64(850), np.int64(870), np.int64(910)]",0.9335567157095397,0.02343892064299141,0.9242197437114379
4,"[np.int64(730), np.int64(830), np.int64(850), np.int64(870)]",0.9334646416706217,0.021107789336872455,0.9296962505932604
4,"[np.int64(710), np.int64(850), np.int64(870), np.int64(890)]",0.933450878025629,0.025254950717529954,0.9221789273849075
4,"[np.int64(450), np.int64(850), np.int64(870), np.int64(910)]",0.9334205030849549,0.028692587150357905,0.9211267204556239
4,"[np.int64(490), np.int64(810), np.int64(850), np.int64(870)]",0.9334181300427147,0.024457596002554118,0.9277370669197911
4,"[np.int64(790), np.int64(810), np.int64(850), np.int64(870)]",0.9332800189843379,0.024760557325848767,0.9190859041290935
4,"[np.int64(630), np.int64(810), np.int64(850), np.int64(870)]",0.9331907925961082,0.025266745713985343,0.9225453251067869
