file_name,true_label,pred_label,confidence
Egg-F-10Dec-0233',1,1,0.9868721507303485
Egg-F-06Dec-0173',1,1,0.9790067870457768
Egg-IF-22Jan-0390',0,1,0.9766088310573352
Egg-F-29Jan-0509',1,1,0.9764938345271824
Egg-F-05Dec-0143',1,1,0.9753958676639582
Egg-F-02Dec-0072',1,1,0.9744306033251747
Egg-F-02Dec-0075',1,1,0.97399024384649
Egg-F-02Dec-0078',1,1,0.9684061057179748
Egg-F-27Nov-0054',1,1,0.9664127487778541
Egg-F-27Nov-0051',1,1,0.966060501800099
Egg-IF-27Jan-0462',0,0,8.976925634017864e-05
Egg-IF-16Dec-0309',0,0,0.0006663823907563032
Egg-IF-26Nov-0022',0,0,0.0010113933713023018
Egg-IF-26Nov-0015',0,0,0.0013421786126749556
Egg-IF-17Dec-0316',0,0,0.001661352205525079
Egg-IF-18Dec-0359',0,0,0.0019581783398740287
Egg-IF-27Nov-0065',0,0,0.0020797589361544653
Egg-IF-11Dec-0253',0,0,0.0024487237795521696
Egg-IF-26Nov-0035',0,0,0.0036894556896345863
Egg-IF-11Dec-0255',0,0,0.0038037494510915655
