num_leds,wavelengths,auc_mean,auc_std,balanced_acc
3,"[np.int64(414), np.int64(514), np.int64(634)]",0.5579251574767445,0.07753961877269219,0.5875222816399287
3,"[np.int64(394), np.int64(494), np.int64(514)]",0.5560392424465428,0.05500334728964649,0.5680783005445715
3,"[np.int64(434), np.int64(514), np.int64(634)]",0.5500107487077021,0.08310807559407664,0.5839750445632799
3,"[np.int64(374), np.int64(494), np.int64(514)]",0.5497571208330173,0.053863578931159145,0.5616315884151826
3,"[np.int64(394), np.int64(514), np.int64(634)]",0.5493213447332075,0.07958201206316272,0.5920677361853832
3,"[np.int64(414), np.int64(474), np.int64(514)]",0.5493166170858366,0.05228978601280455,0.5749732620320855
3,"[np.int64(414), np.int64(494), np.int64(514)]",0.5484703682064228,0.0629862394102758,0.583839964676446
3,"[np.int64(374), np.int64(514), np.int64(634)]",0.5443807450950658,0.08192471140658336,0.5896434937611408
3,"[np.int64(414), np.int64(514), np.int64(794)]",0.5423193124395105,0.07615623633252566,0.5631467399303342
3,"[np.int64(414), np.int64(514), np.int64(854)]",0.5422704600833435,0.06448224990035761,0.5654568349441528
3,"[np.int64(434), np.int64(474), np.int64(514)]",0.5421665113084433,0.047997969029991434,0.5695000735907374
3,"[np.int64(434), np.int64(514), np.int64(754)]",0.5417539274410197,0.07705603489540319,0.5650623885918004
3,"[np.int64(414), np.int64(514), np.int64(754)]",0.541616617531841,0.07371821750732031,0.564055830839425
3,"[np.int64(394), np.int64(474), np.int64(514)]",0.5399270336688774,0.06026863212096163,0.5676818917725556
3,"[np.int64(434), np.int64(454), np.int64(514)]",0.5392876119285381,0.06541763070912003,0.5629248229733929
3,"[np.int64(434), np.int64(494), np.int64(514)]",0.538609506733924,0.06456303878302586,0.5620320855614972
3,"[np.int64(414), np.int64(514), np.int64(1014)]",0.538235457652619,0.04013078273178294,0.570322000359777
3,"[np.int64(414), np.int64(514), np.int64(894)]",0.537946357555836,0.0689768792838249,0.5521485224615283
3,"[np.int64(794), np.int64(894), np.int64(914)]",0.5371417060265611,0.053312992207362124,0.5647593582887701
3,"[np.int64(454), np.int64(514), np.int64(634)]",0.5368585229223997,0.0783697748645926,0.5675947276325042
3,"[np.int64(794), np.int64(874), np.int64(914)]",0.5355727515056368,0.04219030849481629,0.5598444782416719
3,"[np.int64(434), np.int64(514), np.int64(854)]",0.5350285071189746,0.0709050744216531,0.5564800732636674
3,"[np.int64(434), np.int64(514), np.int64(794)]",0.5345656734147143,0.08266755357472305,0.5611229946524064
3,"[np.int64(394), np.int64(514), np.int64(854)]",0.5331752990831634,0.06359429305959323,0.5718371518749285
3,"[np.int64(414), np.int64(434), np.int64(514)]",0.5328509051660697,0.0732349837256575,0.5533002992689987
3,"[np.int64(374), np.int64(474), np.int64(514)]",0.532695249606401,0.06749714661161967,0.5561853832442067
3,"[np.int64(794), np.int64(934), np.int64(974)]",0.531407099499137,0.08306443429015797,0.5590909090909091
3,"[np.int64(394), np.int64(414), np.int64(514)]",0.5313949384439499,0.07558644577522881,0.5560192317127017
3,"[np.int64(414), np.int64(514), np.int64(734)]",0.5307852206012437,0.07098527945179438,0.5555709823545765
3,"[np.int64(814), np.int64(934), np.int64(974)]",0.5307719296680686,0.0851219069137133,0.5663636363636363
3,"[np.int64(454), np.int64(474), np.int64(514)]",0.5307584305994746,0.04750123978754137,0.5448237910677198
3,"[np.int64(394), np.int64(514), np.int64(794)]",0.5306919759335988,0.07276569097966737,0.5649732620320855
3,"[np.int64(374), np.int64(754), np.int64(894)]",0.5306094948404716,0.07667417165919078,0.5508199643493761
3,"[np.int64(654), np.int64(754), np.int64(934)]",0.5305349228932608,0.0640084937125751,0.5652823431290782
