Model,CV Accuracy,Test Accuracy,Precision,F1 Score
XGBoost,0.7622846441947566,0.7771084337349398,0.7757575757575758,0.7757575757575758
CatBoost,0.7644444444444445,0.7801204819277109,0.7839506172839507,0.7767584097859327
RandomForest,0.7398252184769037,0.7469879518072289,0.7612903225806451,0.7375
SVM,0.7444069912609239,0.6987951807228916,0.6900584795321637,0.7023809523809523
