file_name,true_label,pred_label,confidence
Egg-F-31Jan-0562,1,1,0.8313364026490028
Egg-F-02Dec-0073,1,1,0.8097374268670712
Egg-F-02Dec-0084,1,1,0.8083784876753082
Egg-IF-02Dec-0087,0,1,0.8029687430045447
Egg-F-10Dec-0236,1,1,0.7883563730109067
Egg-F-22Jan-0393,1,1,0.7860489314273355
Egg-F-23Jan-0409,1,1,0.7843796673115477
Egg-F-02Dec-0080,1,1,0.7833906100192563
Egg-F-24Jan-0444,1,1,0.7824127052799571
Egg-F-31Jan-0576,1,1,0.7806369861110174
Egg-IF-27Nov-0059,0,0,0.010730761337445565
Egg-IF-11Dec-0245,0,0,0.03136765163282338
Egg-F-25Nov-0017,1,0,0.03278747175642455
Egg-IF-09Dec-0197,0,0,0.045418515895606436
Egg-F-09Dec-0202,1,0,0.04575973293185232
Egg-IF-11Dec-0261,0,0,0.05845822284166892
Egg-IF-27Nov-0071,0,0,0.06354201633629072
Egg-IF-27Nov-0049,0,0,0.08537825490542893
Egg-F-18Dec-0351,1,0,0.09383144079264083
Egg-IF-18Dec-0344,0,0,0.09459017254430188
