feature,importance
band_145_mean,0.05479940740356511
band_144_mean,0.05362094487205222
band_143_mean,0.05236581382826696
band_68_median,0.03292554292076565
band_65_median,0.03177296643087164
band_69_median,0.03162714934028358
band_66_median,0.031453778580041974
band_67_median,0.031234215483792623
band_70_median,0.030138691963869944
band_63_median,0.02942029044431903
band_64_median,0.028428744350344773
band_226_median,0.020013901152582825
band_259_median,0.018799081385880923
band_262_median,0.018648870739439646
band_261_median,0.018600209704695007
band_224_median,0.018443085292360727
band_227_median,0.01836000540144963
band_225_median,0.01792663617313811
band_260_median,0.01772856411534909
band_258_median,0.017590525994197543
band_228_median,0.017588558060569026
band_230_median,0.01684851469450863
band_244_median,0.016527612338081272
band_255_median,0.016522636529755722
band_257_median,0.01652033915272713
band_231_median,0.016393402579972134
band_233_median,0.016238830354520936
band_229_median,0.015602930470664156
band_254_median,0.015280072326436878
band_253_median,0.014769376375107118
band_251_median,0.014635441441134656
band_232_median,0.014611102823384212
band_234_median,0.01457997312675264
band_252_median,0.014262724414985424
band_240_median,0.014181839865293876
band_243_median,0.013422713539675645
band_235_median,0.013288443633074078
band_256_median,0.013279854424153512
band_236_median,0.013267507523291682
band_239_median,0.01320961574131305
band_237_median,0.012884656941004243
band_249_median,0.012869453247969313
band_241_median,0.012684045363228938
band_247_median,0.012662020890801307
band_238_median,0.012592101186958466
band_248_median,0.012534364060793578
band_242_median,0.012530360742196092
band_246_median,0.012399022672688269
band_250_median,0.01223064581699422
band_245_median,0.011683414084696897
