Model,CV Accuracy,Test Accuracy,Precision,F1 Score
XGBoost,0.8519850187265916,0.8765060240963856,0.8563218390804598,0.8790560471976401
CatBoost,0.859737827715356,0.8885542168674698,0.8595505617977528,0.892128279883382
RandomForest,0.8240574282147316,0.8433734939759037,0.8192090395480226,0.847953216374269
SVM,0.5578651685393259,0.5933734939759037,0.7419354838709677,0.4052863436123348
