iter	Logloss
0	0.6882208082
1	0.6844063166
2	0.6791077741
3	0.6744090174
4	0.6702857949
5	0.6652918906
6	0.6607182045
7	0.6576555427
8	0.6541357364
9	0.6500572971
10	0.6462443135
11	0.6421753393
12	0.6384220838
13	0.6352847222
14	0.6314299314
15	0.6276088946
16	0.6243162109
17	0.6213113895
18	0.6184033863
19	0.6152610895
20	0.6116670763
21	0.6088526571
22	0.606190889
23	0.602828187
24	0.5995747562
25	0.596323361
26	0.5928091169
27	0.5901954463
28	0.5870461488
29	0.5834482249
30	0.5805908384
31	0.5779878929
32	0.5752601842
33	0.5731155005
34	0.5705808963
35	0.5679745387
36	0.5653358884
37	0.5621650843
38	0.559634733
39	0.5576069316
40	0.5551599766
41	0.5529862967
42	0.5507699985
43	0.5483048707
44	0.5458847119
45	0.5437338279
46	0.5417570659
47	0.539668372
48	0.5371153531
49	0.5348015764
50	0.5327152578
51	0.5300411728
52	0.5278728505
53	0.5259312029
54	0.5234780624
55	0.5214786381
56	0.5197323446
57	0.5179069425
58	0.5154369739
59	0.5131250512
60	0.5111333561
61	0.5092287394
62	0.507542755
63	0.505620395
64	0.5037427563
65	0.5020087671
66	0.5008512049
67	0.4987623962
68	0.4966361853
69	0.4951322256
70	0.4932216996
71	0.4916198523
72	0.490029589
73	0.4879387604
74	0.4862363845
75	0.4846645745
76	0.4828490305
77	0.4808061774
78	0.4788026764
79	0.4771565478
80	0.475802299
81	0.4738157404
82	0.4721560348
83	0.4705865318
84	0.4691334149
85	0.4677774888
86	0.4661890219
87	0.4643702643
88	0.4630845908
89	0.4618249102
90	0.4603528738
91	0.4590421658
92	0.4580704374
93	0.4566245743
94	0.4550005463
95	0.4535893949
96	0.4527525929
97	0.451192431
98	0.4497212536
99	0.4486907324
100	0.4469871292
101	0.4457449905
102	0.4446034027
103	0.4429744654
104	0.4419840592
105	0.4404227328
106	0.4393006223
107	0.4383356297
108	0.437293227
109	0.4364466126
110	0.4353362271
111	0.4342191018
112	0.4332428252
113	0.4324609718
114	0.4312479651
115	0.430044562
116	0.4290701993
117	0.4281278958
118	0.4270499399
119	0.4259376185
120	0.424855495
121	0.4235540079
122	0.4227600989
123	0.4213823939
124	0.4203617898
125	0.4193773887
126	0.4184344009
127	0.4173563035
128	0.4162156458
129	0.415168367
130	0.4143556863
131	0.4135457157
132	0.4127025591
133	0.4115514613
134	0.4103391136
135	0.4092451465
136	0.408235631
137	0.4072343431
138	0.4061301584
139	0.4050600193
140	0.4039633075
141	0.4028682156
142	0.4019007721
143	0.4007319696
144	0.3998987981
145	0.3990988941
146	0.3980361946
147	0.3969959097
148	0.3962593465
149	0.3954237254
150	0.3945921118
151	0.3937420752
152	0.3926303767
153	0.3916399172
154	0.3907106261
155	0.3900177594
156	0.3890836703
157	0.3882206138
158	0.3876086035
159	0.3868786343
160	0.3859691527
161	0.3850117554
162	0.384373511
163	0.383590467
164	0.3829873758
165	0.381955391
166	0.3809380237
167	0.3801529326
168	0.3793772965
169	0.3787691157
170	0.3779720816
171	0.3770020799
172	0.3762112715
173	0.3752814122
174	0.3743668651
175	0.373284426
176	0.3725992918
177	0.3717534987
178	0.3707678946
179	0.3699284405
180	0.3691804676
181	0.3686657921
182	0.3679396828
183	0.3671149855
184	0.3664986548
185	0.3656530271
186	0.3647094779
187	0.3639649804
188	0.3629771455
189	0.3625175633
190	0.3616112142
191	0.3608279682
192	0.3600249805
193	0.359314412
194	0.3585792639
195	0.3580139684
196	0.3573051311
197	0.3564707282
198	0.355858905
199	0.35508283
200	0.3542395866
201	0.3536049216
202	0.353020448
203	0.3521974281
204	0.3516462377
205	0.3508602884
206	0.3502378957
207	0.3493545503
208	0.3486674639
209	0.3481216439
210	0.347473296
211	0.3465134932
212	0.3455404019
213	0.3447589604
214	0.3440960219
215	0.3434015106
216	0.3427883279
217	0.3421417191
218	0.3414901124
219	0.3408980523
220	0.3398883903
221	0.3392961606
222	0.338316259
223	0.3375671682
224	0.3368105804
225	0.3358377453
226	0.3349422856
227	0.3343336402
228	0.333313186
229	0.332639653
230	0.3320726252
231	0.3312685108
232	0.3306580045
233	0.3301860695
234	0.3294774178
235	0.3287517943
236	0.328293958
237	0.3277874983
238	0.3269036874
239	0.3262403936
240	0.3256514312
241	0.3250350705
242	0.3243494855
243	0.323874147
244	0.3232010946
245	0.3226163917
246	0.32179717
247	0.321288141
248	0.3206408615
249	0.3201913311
250	0.3194801299
251	0.3185438081
252	0.3180275986
253	0.3173131245
254	0.3169327438
255	0.3164682474
256	0.3160583249
257	0.3157661574
258	0.3151461952
259	0.3146078583
260	0.3141425104
261	0.3136069797
262	0.3131024878
263	0.3125034166
264	0.3120225177
265	0.3114557874
266	0.3107109801
267	0.3102695674
268	0.3096985314
269	0.3093306333
270	0.3086010019
271	0.3080572333
272	0.3075109653
273	0.3067709006
274	0.3062207018
275	0.3055759466
276	0.3050394273
277	0.3045453574
278	0.3040652337
279	0.3036332169
280	0.3031347454
281	0.3024764593
282	0.3019030599
283	0.3015004046
284	0.3009400467
285	0.3005780462
286	0.3000290466
287	0.2996755467
288	0.2991546644
289	0.298472048
290	0.2980448308
291	0.2975652699
292	0.2968901045
293	0.296398365
294	0.295799554
295	0.2951961076
296	0.2945008938
297	0.2938515248
298	0.2934182579
299	0.2928943605
300	0.2923649511
301	0.2918994085
302	0.2912963572
303	0.2906872439
304	0.2903037608
305	0.2895819756
306	0.2892907463
307	0.2889756415
308	0.2884427998
309	0.2880534204
310	0.2875787241
311	0.2869800031
312	0.286453877
313	0.2861361295
314	0.2857742555
315	0.2852687631
316	0.2847922682
317	0.2842788897
318	0.2836700563
319	0.2832750554
320	0.2828601242
321	0.2824096747
322	0.2818659565
323	0.2814475074
324	0.2810012
325	0.2803336618
326	0.2797250281
327	0.2792983756
328	0.278801125
329	0.2783248813
330	0.2779527289
331	0.2776146648
332	0.2773060595
333	0.2770237195
334	0.2763594562
335	0.2760797908
336	0.2754683662
337	0.2750896693
338	0.2747395109
339	0.2743074806
340	0.2739906391
341	0.2736787772
342	0.273127677
343	0.2728719709
344	0.2725222858
345	0.2720046946
346	0.271386502
347	0.2709287526
348	0.2704156105
349	0.2701034054
350	0.2697874603
351	0.2691656795
352	0.268756467
353	0.2684059538
354	0.2678821941
355	0.2673702807
356	0.2667952655
357	0.2662450907
358	0.2658199835
359	0.2653321047
360	0.2649065043
361	0.2644940904
362	0.2640964121
363	0.2635962807
364	0.2630555543
365	0.2626753741
366	0.2622386013
367	0.2618534439
368	0.2613904607
369	0.2607667358
370	0.2603683344
371	0.2599676113
372	0.2595442076
373	0.259148737
374	0.2584931867
375	0.2581630679
376	0.2574353103
377	0.2568513798
378	0.2564781641
379	0.2560220692
380	0.2556876055
381	0.2552073654
382	0.2547736836
383	0.2542953806
384	0.2537418932
385	0.253412718
386	0.2531584675
387	0.2525583071
388	0.2519640381
389	0.2515069828
390	0.2508542042
391	0.2504431731
392	0.2501508838
393	0.2495998799
394	0.2492168446
395	0.2489673605
396	0.2485324828
397	0.2481546455
398	0.2474482944
399	0.2469898677
400	0.2466255121
401	0.246309591
402	0.2457909831
403	0.2452902282
404	0.2448179718
405	0.2443384743
406	0.2438614001
407	0.2433578857
408	0.2430137383
409	0.2427125683
410	0.2424956362
411	0.2421167877
412	0.2417455867
413	0.2413131864
414	0.240833296
415	0.240506858
416	0.240153102
417	0.2397192345
418	0.2393290499
419	0.2390301116
420	0.2386449825
421	0.2380748943
422	0.2376789879
423	0.2372945717
424	0.2369337707
425	0.2366290515
426	0.2362644638
427	0.2356290049
428	0.2352708411
429	0.2347654718
430	0.2343634302
431	0.2340580174
432	0.2336503835
433	0.2332073949
434	0.2328234672
435	0.2324747902
436	0.2319337814
437	0.2316211959
438	0.2312329497
439	0.2307937316
440	0.230406794
441	0.2300683548
442	0.2295658743
443	0.2292393471
444	0.2287857241
445	0.2283193909
446	0.2279613671
447	0.2274960615
448	0.2272116859
449	0.2268053002
450	0.2264664135
451	0.2261866429
452	0.2258199057
453	0.2253501034
454	0.2249604605
455	0.2246074398
456	0.2242124
457	0.2237573974
458	0.2233282458
459	0.2229960876
460	0.2227569454
461	0.2223862531
462	0.2220695858
463	0.2217629402
464	0.2212608233
465	0.2210163199
466	0.2207017407
467	0.2204795663
468	0.2202441431
469	0.2200566571
470	0.2196946215
471	0.219399034
472	0.2190222878
473	0.2187893706
474	0.2184086884
475	0.2180451392
476	0.2177588481
477	0.2173754391
478	0.217073203
479	0.2168012911
480	0.2165055381
481	0.21588177
482	0.215488439
483	0.2151902294
484	0.214870021
485	0.2145793306
486	0.2142933626
487	0.2139209362
488	0.2136268242
489	0.2133513466
490	0.2129899045
491	0.2126635452
492	0.2123789295
493	0.2118846799
494	0.2116520511
495	0.2113573246
496	0.2109161108
497	0.2106344114
498	0.2102388759
499	0.2098729859
500	0.2095255286
501	0.2091994163
502	0.2088723108
503	0.2086749267
504	0.2083612814
505	0.2080949682
506	0.2076671217
507	0.2074002369
508	0.2069708033
509	0.2064712364
510	0.2061276459
511	0.2058619796
512	0.2056000834
513	0.2053402714
514	0.2050058046
515	0.2047290578
516	0.2043106605
517	0.2039751097
518	0.203694346
519	0.2034086363
520	0.2031863587
521	0.2029770672
522	0.2026742239
523	0.2023892569
524	0.2020416979
525	0.201690343
526	0.2013238824
527	0.2009832386
528	0.2006395177
529	0.2003412766
530	0.1999344664
531	0.199755956
532	0.1994882367
533	0.1991785832
534	0.1989037164
535	0.1985415849
536	0.1980383782
537	0.197761481
538	0.1974976248
539	0.1970652239
540	0.1967592142
541	0.1963381245
542	0.1960788302
543	0.1957977607
544	0.195316745
545	0.1949684878
546	0.1946877772
547	0.1943655034
548	0.1939458479
549	0.1936644495
550	0.1931573204
551	0.1928564497
552	0.192465964
553	0.19211116
554	0.1918495403
555	0.1916990394
556	0.1913860107
557	0.1911178949
558	0.1909353016
559	0.1906049418
560	0.1901351615
561	0.1898063882
562	0.1895460843
563	0.1892815468
564	0.1890787973
565	0.1888359286
566	0.188485407
567	0.1882721684
568	0.1880023291
569	0.1877818438
570	0.1875553517
571	0.1872044929
572	0.1868798357
573	0.1866362651
574	0.1863534225
575	0.1861059922
576	0.1858061303
577	0.1855678309
578	0.1853348043
579	0.1850170125
580	0.1847467158
581	0.1843406684
582	0.1839965433
583	0.1837496397
584	0.1835227971
585	0.1832577998
586	0.183015557
587	0.1828059466
588	0.1824694199
589	0.1821733088
590	0.1819890131
591	0.1818013902
592	0.1814720708
593	0.1810723855
594	0.1808202621
595	0.1805673267
596	0.1803478897
597	0.1801309705
598	0.1797011668
599	0.1794394414
600	0.1791984068
601	0.1789044212
602	0.1785146764
603	0.1783085556
604	0.1780423057
605	0.1776555144
606	0.1774636807
607	0.1769609787
608	0.1768060147
609	0.1765320203
610	0.1762600374
611	0.176081586
612	0.1759278348
613	0.1757404574
614	0.1753733298
615	0.1749343795
616	0.1745896073
617	0.1743469169
618	0.1739949899
619	0.1735952756
620	0.1733648146
621	0.1730395766
622	0.1728386852
623	0.1725293194
624	0.1722590653
625	0.172029997
626	0.1717758459
627	0.1714252372
628	0.171120005
629	0.170816762
630	0.1705959896
631	0.1703176803
632	0.1700575845
633	0.1697137795
634	0.1694208456
635	0.1691912848
636	0.1688832652
637	0.1686825841
638	0.1684719989
639	0.1681723541
640	0.1679110223
641	0.1676631186
642	0.1674314625
643	0.1671778485
644	0.1669524333
645	0.1667070651
646	0.1664577368
647	0.1662191268
648	0.1659305943
649	0.1656324845
650	0.1654296213
651	0.165074559
652	0.1647605541
653	0.1645626731
654	0.164328531
655	0.164141033
656	0.1639134628
657	0.1636746398
658	0.1634188555
659	0.1631552644
660	0.1628764615
661	0.162609223
662	0.1623597618
663	0.1619497388
664	0.1616493954
665	0.1614171209
666	0.1612155935
667	0.161008467
668	0.1606957221
669	0.1604317688
670	0.1600963067
671	0.1598056051
672	0.1595034841
673	0.1591101706
674	0.1588396705
675	0.1586068523
676	0.1584403929
677	0.1581659289
678	0.1580013405
679	0.1576797468
680	0.1574226427
681	0.1571754853
682	0.1569065504
683	0.156571661
684	0.156133487
685	0.1558848804
686	0.1556124443
687	0.1553983848
688	0.1551696308
689	0.1548897261
690	0.1546346749
691	0.1543290102
692	0.1541564832
693	0.1539758529
694	0.1535672014
695	0.1533374304
696	0.1529427475
697	0.1527418653
698	0.1524751289
699	0.1521638568
700	0.1518627921
701	0.151599686
702	0.1513440822
703	0.1512282307
704	0.1509477086
705	0.1506693435
706	0.1504726327
707	0.1501695074
708	0.1498187208
709	0.1496316634
710	0.1493402852
711	0.1491441498
712	0.148908
713	0.148635079
714	0.1484362394
715	0.1481150156
716	0.147817696
717	0.1476140957
718	0.1473546059
719	0.1471819753
720	0.1470066975
721	0.1467674025
722	0.1464988343
723	0.1461718585
724	0.1459095298
725	0.145639548
726	0.1454758783
727	0.1452919596
728	0.1450130353
729	0.1448430527
730	0.1445964094
731	0.1444004324
732	0.1441177398
733	0.1437758951
734	0.143499903
735	0.1432591319
736	0.1430119263
737	0.1426095747
738	0.1423592732
739	0.1420427806
740	0.1417566157
741	0.1415311281
742	0.1412530653
743	0.1409557212
744	0.1407139227
745	0.1404882129
746	0.1402437254
747	0.1399686385
748	0.1396892666
749	0.1394254574
750	0.139044164
751	0.1387994822
752	0.1385353365
753	0.1383269801
754	0.1380714154
755	0.1378235339
756	0.137536591
757	0.1372939184
758	0.1370807958
759	0.1368833026
760	0.13657571
761	0.1362435865
762	0.1360005509
763	0.1358308218
764	0.1355867088
765	0.1353632666
766	0.1349966325
767	0.134855307
768	0.1346039031
769	0.1344008794
770	0.1340772629
771	0.1337953459
772	0.1335016628
773	0.1331745911
774	0.1329331565
775	0.1328256802
776	0.1326109976
777	0.1323286062
778	0.132100057
779	0.1318219887
780	0.1316606379
781	0.1314817627
782	0.1311740944
783	0.1309637334
784	0.1307255421
785	0.1303983523
786	0.1301824086
787	0.1300786851
788	0.1298136111
789	0.1295620266
790	0.1295116526
791	0.1292385391
792	0.1290265873
793	0.1287974812
794	0.1285401611
795	0.1283704407
796	0.1280726087
797	0.1278220231
798	0.1275463164
799	0.1272851849
800	0.126995182
801	0.1267526149
802	0.1265432518
803	0.1263726199
804	0.1261020242
805	0.1258094017
806	0.1255262121
807	0.125163232
808	0.1249391256
809	0.1246592836
810	0.1243753844
811	0.1241909025
812	0.124055397
813	0.1238009592
814	0.1235563307
815	0.1233024089
816	0.1230857961
817	0.1228506892
818	0.122672608
819	0.122510512
820	0.1222594192
821	0.1220541095
822	0.121841567
823	0.1216482391
824	0.1214600887
825	0.1213405144
826	0.121088541
827	0.1208277208
828	0.1205163176
829	0.1202579843
830	0.119976898
831	0.1197649266
832	0.1195570286
833	0.1194027708
834	0.11919328
835	0.1189505483
836	0.1186653669
837	0.1184959006
838	0.118270087
839	0.118049776
840	0.1178892101
841	0.1176429599
842	0.117351286
843	0.1171033515
844	0.1168923877
845	0.1166540363
846	0.1165733555
847	0.1163634956
848	0.116084913
849	0.1159011954
850	0.1156657451
851	0.1153468905
852	0.1150255202
853	0.1148081624
854	0.1146145651
855	0.1143371372
856	0.114223272
857	0.1139949145
858	0.1137805724
859	0.113500259
860	0.1133631308
861	0.1131027737
862	0.1128417736
863	0.1126845574
864	0.1124109582
865	0.1122991844
866	0.112024958
867	0.1117615869
868	0.1116094123
869	0.1114231666
870	0.1111558382
871	0.1109761922
872	0.1108948793
873	0.110681514
874	0.1105584998
875	0.1102635345
876	0.1101177469
877	0.1098788395
878	0.1097857208
879	0.1095887027
880	0.1093619987
881	0.1091407319
882	0.108933926
883	0.1087853138
884	0.1084970754
885	0.108286394
886	0.1080907791
887	0.1078999158
888	0.1076754708
889	0.1073989689
890	0.1072248214
891	0.1071029015
892	0.106885712
893	0.1066381498
894	0.1063640822
895	0.1061313861
896	0.105920719
897	0.105675949
898	0.1055435125
899	0.1053464869
900	0.1051769003
901	0.1049966098
902	0.1048014449
903	0.1045390908
904	0.1043847979
905	0.1041840517
906	0.1040507786
907	0.1037738624
908	0.1036330158
909	0.1033971281
910	0.1032512328
911	0.1031134022
912	0.1028521873
913	0.1026137843
914	0.1024231596
915	0.1021374949
916	0.1019088249
917	0.1017531926
918	0.1015871955
919	0.1013552899
920	0.1011393784
921	0.100937069
922	0.1007405284
923	0.1004895615
924	0.1002346747
925	0.100062586
926	0.09987778822
927	0.09974050708
928	0.09960843139
929	0.09941993285
930	0.09919655407
931	0.09900978458
932	0.0988396847
933	0.09864291441
934	0.09847172077
935	0.098366341
936	0.09816256953
937	0.09798279048
938	0.09789719228
939	0.09772622476
940	0.09750808999
941	0.09727186923
942	0.09705080585
943	0.09688670723
944	0.09669478805
945	0.09653531544
946	0.09639586918
947	0.09613933612
948	0.09600520115
949	0.09586918607
950	0.09570787864
951	0.0955241183
952	0.09534443462
953	0.09511678752
954	0.09499861224
955	0.0947973964
956	0.09462274686
957	0.09443539586
958	0.09423046627
959	0.09392977735
960	0.09375650836
961	0.09357346638
962	0.09339010204
963	0.09324512898
964	0.09308708923
965	0.09291920248
966	0.09275701604
967	0.09257900969
968	0.0923699289
969	0.09218592606
970	0.0920246407
971	0.09187825559
972	0.09173913082
973	0.09156054915
974	0.091371739
975	0.09118355357
976	0.0909718015
977	0.09077339469
978	0.09069427749
979	0.09051545445
980	0.09032451683
981	0.09012749461
982	0.08994240105
983	0.08972898268
984	0.08959027185
985	0.08944863208
986	0.08929521108
987	0.08914665953
988	0.08896631589
989	0.08882498304
990	0.08869285695
991	0.08849302532
992	0.08842000208
993	0.08831659574
994	0.08820330277
995	0.08803536683
996	0.08785597858
997	0.08766394585
998	0.08742311821
999	0.08737435049
