feature,frequency
421.16nm,0.0
421.16nm,0.0
421.16nm,0.0
421.16nm,0.0
421.16nm,0.0
421.16nm,0.0
423.31nm,0.0
423.31nm,0.0
423.31nm,0.0
423.31nm,0.0
423.31nm,0.0
423.31nm,0.0
423.31nm,0.0
423.31nm,0.0
425.45nm,0.0
425.45nm,0.0
425.45nm,0.0
425.45nm,0.0
425.45nm,0.0
425.45nm,0.0
425.45nm,0.0
425.45nm,0.0
425.45nm,0.0
427.60nm,0.0
427.60nm,0.0
427.60nm,0.0
427.60nm,0.0
427.60nm,0.0
427.60nm,0.0
427.60nm,0.0
427.60nm,0.0
429.74nm,0.0
429.74nm,0.0
429.74nm,0.0
429.74nm,0.0
429.74nm,0.0
429.74nm,0.0
429.74nm,0.0
429.74nm,0.0
429.74nm,0.0
431.88nm,0.0
431.88nm,0.0
431.88nm,0.0
431.88nm,0.0
431.88nm,0.0
431.88nm,0.0
431.88nm,0.0
431.88nm,0.0
431.88nm,0.0
434.03nm,0.0
434.03nm,0.0
434.03nm,0.0
434.03nm,0.0
434.03nm,0.0
434.03nm,0.0
434.03nm,0.0
434.03nm,0.0
434.03nm,0.0
436.17nm,0.0
436.17nm,0.0
436.17nm,0.0
436.17nm,0.0
436.17nm,0.0
436.17nm,0.0
436.17nm,0.0
436.17nm,0.0
436.17nm,0.0
438.31nm,0.0
438.31nm,0.0
438.31nm,0.0
438.31nm,0.0
438.31nm,0.0
438.31nm,0.0
438.31nm,0.0
440.46nm,0.0
440.46nm,0.0
440.46nm,0.0
440.46nm,0.0
440.46nm,0.0
440.46nm,0.0
440.46nm,0.0
440.46nm,0.0
440.46nm,0.0
442.60nm,0.0
442.60nm,0.0
442.60nm,0.0
442.60nm,0.0
442.60nm,0.0
442.60nm,0.0
442.60nm,0.0
442.60nm,0.0
442.60nm,0.0
444.75nm,0.0
444.75nm,0.0
444.75nm,0.0
444.75nm,0.0
444.75nm,0.0
444.75nm,0.0
444.75nm,0.0
444.75nm,0.0
444.75nm,0.0
446.89nm,0.0
446.89nm,0.0
446.89nm,0.0
446.89nm,0.0
446.89nm,0.0
446.89nm,0.0
446.89nm,0.0
446.89nm,0.0
449.03nm,0.0
449.03nm,0.0
449.03nm,0.0
449.03nm,0.0
449.03nm,0.0
449.03nm,0.0
449.03nm,0.0
451.18nm,0.0
451.18nm,0.0
451.18nm,0.0
451.18nm,0.0
451.18nm,0.0
451.18nm,0.0
451.18nm,0.0
451.18nm,0.0
451.18nm,0.0
453.32nm,0.0
453.32nm,0.0
453.32nm,0.0
453.32nm,0.0
453.32nm,0.0
453.32nm,0.0
453.32nm,0.0
453.32nm,0.0
453.32nm,0.0
455.46nm,0.0
455.46nm,0.0
455.46nm,0.0
455.46nm,0.0
455.46nm,0.0
455.46nm,0.0
455.46nm,0.0
455.46nm,0.0
455.46nm,0.0
457.61nm,0.0
457.61nm,0.0
457.61nm,0.0
457.61nm,0.0
457.61nm,0.0
457.61nm,0.0
457.61nm,0.0
457.61nm,0.0
459.75nm,0.0
459.75nm,0.0
459.75nm,0.0
459.75nm,0.0
459.75nm,0.0
459.75nm,0.0
459.75nm,0.0
459.75nm,0.0
459.75nm,0.0
461.90nm,0.0
461.90nm,0.0
461.90nm,0.0
461.90nm,0.0
461.90nm,0.0
461.90nm,0.0
461.90nm,0.0
461.90nm,0.0
461.90nm,0.0
464.04nm,0.0
464.04nm,0.0
464.04nm,0.0
464.04nm,0.0
464.04nm,0.0
464.04nm,0.0
464.04nm,0.0
464.04nm,0.0
464.04nm,0.0
466.18nm,0.0
466.18nm,0.0
466.18nm,0.0
466.18nm,0.0
466.18nm,0.0
466.18nm,0.0
466.18nm,0.0
466.18nm,0.0
466.18nm,0.0
468.33nm,0.0
468.33nm,0.0
468.33nm,0.0
468.33nm,0.0
468.33nm,0.0
468.33nm,0.0
468.33nm,0.0
468.33nm,0.0
468.33nm,0.0
