feature,frequency
1010.71nm,0.0
704.15nm,0.0
706.29nm,0.0
706.29nm,0.0
706.29nm,0.0
706.29nm,0.0
706.29nm,0.0
706.29nm,0.0
706.29nm,0.0
1012.86nm,0.0
706.29nm,0.0
708.43nm,0.0
708.43nm,0.0
708.43nm,0.0
708.43nm,0.0
708.43nm,0.0
708.43nm,0.0
708.43nm,0.0
1012.86nm,0.0
708.43nm,0.0
710.58nm,0.0
710.58nm,0.0
710.58nm,0.0
710.58nm,0.0
710.58nm,0.0
710.58nm,0.0
710.58nm,0.0
1012.86nm,0.0
710.58nm,0.0
712.72nm,0.0
712.72nm,0.0
712.72nm,0.0
712.72nm,0.0
712.72nm,0.0
712.72nm,0.0
712.72nm,0.0
1012.86nm,0.0
712.72nm,0.0
714.87nm,0.0
714.87nm,0.0
714.87nm,0.0
714.87nm,0.0
714.87nm,0.0
714.87nm,0.0
714.87nm,0.0
1012.86nm,0.0
714.87nm,0.0
717.01nm,0.0
717.01nm,0.0
717.01nm,0.0
717.01nm,0.0
717.01nm,0.0
717.01nm,0.0
717.01nm,0.0
376.14nm,0.0
717.01nm,0.0
719.15nm,0.0
719.15nm,0.0
719.15nm,0.0
719.15nm,0.0
719.15nm,0.0
719.15nm,0.0
719.15nm,0.0
376.14nm,0.0
719.15nm,0.0
721.30nm,0.0
721.30nm,0.0
721.30nm,0.0
721.30nm,0.0
721.30nm,0.0
721.30nm,0.0
721.30nm,0.0
378.29nm,0.0
721.30nm,0.0
723.44nm,0.0
723.44nm,0.0
723.44nm,0.0
723.44nm,0.0
723.44nm,0.0
723.44nm,0.0
723.44nm,0.0
378.29nm,0.0
723.44nm,0.0
725.59nm,0.0
725.59nm,0.0
725.59nm,0.0
725.59nm,0.0
725.59nm,0.0
725.59nm,0.0
725.59nm,0.0
725.59nm,0.0
725.59nm,0.0
727.73nm,0.0
727.73nm,0.0
727.73nm,0.0
727.73nm,0.0
727.73nm,0.0
727.73nm,0.0
727.73nm,0.0
727.73nm,0.0
727.73nm,0.0
729.87nm,0.0
729.87nm,0.0
729.87nm,0.0
729.87nm,0.0
729.87nm,0.0
729.87nm,0.0
729.87nm,0.0
729.87nm,0.0
729.87nm,0.0
732.02nm,0.0
732.02nm,0.0
732.02nm,0.0
732.02nm,0.0
732.02nm,0.0
732.02nm,0.0
732.02nm,0.0
378.29nm,0.0
732.02nm,0.0
734.16nm,0.0
734.16nm,0.0
734.16nm,0.0
734.16nm,0.0
734.16nm,0.0
734.16nm,0.0
734.16nm,0.0
734.16nm,0.0
734.16nm,0.0
736.30nm,0.0
736.30nm,0.0
736.30nm,0.0
736.30nm,0.0
736.30nm,0.0
736.30nm,0.0
736.30nm,0.0
378.29nm,0.0
736.30nm,0.0
738.45nm,0.0
738.45nm,0.0
738.45nm,0.0
738.45nm,0.0
738.45nm,0.0
738.45nm,0.0
738.45nm,0.0
738.45nm,0.0
738.45nm,0.0
740.59nm,0.0
740.59nm,0.0
740.59nm,0.0
740.59nm,0.0
740.59nm,0.0
740.59nm,0.0
740.59nm,0.0
740.59nm,0.0
740.59nm,0.0
742.74nm,0.0
742.74nm,0.0
742.74nm,0.0
742.74nm,0.0
742.74nm,0.0
742.74nm,0.0
742.74nm,0.0
742.74nm,0.0
742.74nm,0.0
744.88nm,0.0
744.88nm,0.0
744.88nm,0.0
744.88nm,0.0
744.88nm,0.0
744.88nm,0.0
744.88nm,0.0
744.88nm,0.0
744.88nm,0.0
747.02nm,0.0
747.02nm,0.0
747.02nm,0.0
747.02nm,0.0
747.02nm,0.0
747.02nm,0.0
747.02nm,0.0
747.02nm,0.0
747.02nm,0.0
749.17nm,0.0
749.17nm,0.0
749.17nm,0.0
749.17nm,0.0
749.17nm,0.0
749.17nm,0.0
749.17nm,0.0
749.17nm,0.0
749.17nm,0.0
751.31nm,0.0
751.31nm,0.0
751.31nm,0.0
751.31nm,0.0
751.31nm,0.0
751.31nm,0.0
751.31nm,0.0
751.31nm,0.0
751.31nm,0.0
753.45nm,0.0
753.45nm,0.0
753.45nm,0.0
753.45nm,0.0
753.45nm,0.0
753.45nm,0.0
753.45nm,0.0
753.45nm,0.0
753.45nm,0.0
755.60nm,0.0
755.60nm,0.0
755.60nm,0.0
755.60nm,0.0
755.60nm,0.0
755.60nm,0.0
755.60nm,0.0
755.60nm,0.0
755.60nm,0.0
757.74nm,0.0
757.74nm,0.0
757.74nm,0.0
757.74nm,0.0
757.74nm,0.0
757.74nm,0.0
757.74nm,0.0
757.74nm,0.0
757.74nm,0.0
759.89nm,0.0
759.89nm,0.0
759.89nm,0.0
759.89nm,0.0
759.89nm,0.0
759.89nm,0.0
759.89nm,0.0
759.89nm,0.0
759.89nm,0.0
762.03nm,0.0
762.03nm,0.0
762.03nm,0.0
762.03nm,0.0
762.03nm,0.0
762.03nm,0.0
762.03nm,0.0
762.03nm,0.0
762.03nm,0.0
764.17nm,0.0
764.17nm,0.0
764.17nm,0.0
764.17nm,0.0
764.17nm,0.0
764.17nm,0.0
764.17nm,0.0
764.17nm,0.0
764.17nm,0.0
766.32nm,0.0
766.32nm,0.0
766.32nm,0.0
766.32nm,0.0
766.32nm,0.0
766.32nm,0.0
766.32nm,0.0
766.32nm,0.0
766.32nm,0.0
768.46nm,0.0
768.46nm,0.0
768.46nm,0.0
768.46nm,0.0
768.46nm,0.0
768.46nm,0.0
768.46nm,0.0
768.46nm,0.0
768.46nm,0.0
770.61nm,0.0
770.61nm,0.0
770.61nm,0.0
770.61nm,0.0
770.61nm,0.0
770.61nm,0.0
770.61nm,0.0
770.61nm,0.0
770.61nm,0.0
772.75nm,0.0
772.75nm,0.0
772.75nm,0.0
772.75nm,0.0
772.75nm,0.0
772.75nm,0.0
772.75nm,0.0
772.75nm,0.0
772.75nm,0.0
774.89nm,0.0
774.89nm,0.0
774.89nm,0.0
774.89nm,0.0
774.89nm,0.0
774.89nm,0.0
774.89nm,0.0
774.89nm,0.0
774.89nm,0.0
777.04nm,0.0
777.04nm,0.0
777.04nm,0.0
777.04nm,0.0
777.04nm,0.0
777.04nm,0.0
777.04nm,0.0
777.04nm,0.0
777.04nm,0.0
779.18nm,0.0
779.18nm,0.0
779.18nm,0.0
779.18nm,0.0
779.18nm,0.0
779.18nm,0.0
779.18nm,0.0
779.18nm,0.0
378.29nm,0.0
781.32nm,0.0
781.32nm,0.0
781.32nm,0.0
781.32nm,0.0
781.32nm,0.0
781.32nm,0.0
781.32nm,0.0
781.32nm,0.0
781.32nm,0.0
783.47nm,0.0
783.47nm,0.0
783.47nm,0.0
783.47nm,0.0
783.47nm,0.0
783.47nm,0.0
783.47nm,0.0
783.47nm,0.0
378.29nm,0.0
785.61nm,0.0
785.61nm,0.0
785.61nm,0.0
785.61nm,0.0
785.61nm,0.0
785.61nm,0.0
785.61nm,0.0
785.61nm,0.0
380.43nm,0.0
787.76nm,0.0
787.76nm,0.0
787.76nm,0.0
787.76nm,0.0
787.76nm,0.0
787.76nm,0.0
787.76nm,0.0
787.76nm,0.0
380.43nm,0.0
789.90nm,0.0
789.90nm,0.0
789.90nm,0.0
789.90nm,0.0
789.90nm,0.0
789.90nm,0.0
789.90nm,0.0
789.90nm,0.0
789.90nm,0.0
792.04nm,0.0
792.04nm,0.0
792.04nm,0.0
792.04nm,0.0
792.04nm,0.0
792.04nm,0.0
792.04nm,0.0
792.04nm,0.0
380.43nm,0.0
794.19nm,0.0
794.19nm,0.0
794.19nm,0.0
794.19nm,0.0
794.19nm,0.0
794.19nm,0.0
794.19nm,0.0
794.19nm,0.0
794.19nm,0.0
796.33nm,0.0
796.33nm,0.0
796.33nm,0.0
796.33nm,0.0
796.33nm,0.0
796.33nm,0.0
796.33nm,0.0
796.33nm,0.0
380.43nm,0.0
798.47nm,0.0
798.47nm,0.0
798.47nm,0.0
798.47nm,0.0
798.47nm,0.0
798.47nm,0.0
798.47nm,0.0
798.47nm,0.0
798.47nm,0.0
800.62nm,0.0
800.62nm,0.0
800.62nm,0.0
800.62nm,0.0
800.62nm,0.0
800.62nm,0.0
800.62nm,0.0
800.62nm,0.0
380.43nm,0.0
802.76nm,0.0
802.76nm,0.0
802.76nm,0.0
802.76nm,0.0
802.76nm,0.0
802.76nm,0.0
802.76nm,0.0
802.76nm,0.0
380.43nm,0.0
804.91nm,0.0
804.91nm,0.0
804.91nm,0.0
804.91nm,0.0
804.91nm,0.0
804.91nm,0.0
804.91nm,0.0
804.91nm,0.0
380.43nm,0.0
807.05nm,0.0
807.05nm,0.0
807.05nm,0.0
807.05nm,0.0
807.05nm,0.0
807.05nm,0.0
807.05nm,0.0
380.43nm,0.0
380.43nm,0.0
809.19nm,0.0
809.19nm,0.0
809.19nm,0.0
809.19nm,0.0
809.19nm,0.0
809.19nm,0.0
809.19nm,0.0
382.58nm,0.0
382.58nm,0.0
811.34nm,0.0
811.34nm,0.0
811.34nm,0.0
811.34nm,0.0
811.34nm,0.0
811.34nm,0.0
811.34nm,0.0
382.58nm,0.0
382.58nm,0.0
813.48nm,0.0
813.48nm,0.0
813.48nm,0.0
813.48nm,0.0
813.48nm,0.0
813.48nm,0.0
813.48nm,0.0
382.58nm,0.0
382.58nm,0.0
815.63nm,0.0
815.63nm,0.0
815.63nm,0.0
815.63nm,0.0
815.63nm,0.0
815.63nm,0.0
815.63nm,0.0
382.58nm,0.0
382.58nm,0.0
817.77nm,0.0
817.77nm,0.0
817.77nm,0.0
817.77nm,0.0
817.77nm,0.0
817.77nm,0.0
817.77nm,0.0
384.72nm,0.0
384.72nm,0.0
819.91nm,0.0
819.91nm,0.0
819.91nm,0.0
819.91nm,0.0
819.91nm,0.0
819.91nm,0.0
819.91nm,0.0
384.72nm,0.0
384.72nm,0.0
822.06nm,0.0
822.06nm,0.0
822.06nm,0.0
822.06nm,0.0
822.06nm,0.0
822.06nm,0.0
822.06nm,0.0
384.72nm,0.0
384.72nm,0.0
824.20nm,0.0
824.20nm,0.0
824.20nm,0.0
824.20nm,0.0
824.20nm,0.0
824.20nm,0.0
824.20nm,0.0
384.72nm,0.0
384.72nm,0.0
826.34nm,0.0
386.86nm,0.0
826.34nm,0.0
826.34nm,0.0
826.34nm,0.0
826.34nm,0.0
826.34nm,0.0
386.86nm,0.0
386.86nm,0.0
828.49nm,0.0
828.49nm,0.0
828.49nm,0.0
828.49nm,0.0
828.49nm,0.0
828.49nm,0.0
828.49nm,0.0
386.86nm,0.0
386.86nm,0.0
830.63nm,0.0
386.86nm,0.0
830.63nm,0.0
830.63nm,0.0
830.63nm,0.0
830.63nm,0.0
830.63nm,0.0
830.63nm,0.0
389.01nm,0.0
832.78nm,0.0
832.78nm,0.0
832.78nm,0.0
832.78nm,0.0
832.78nm,0.0
832.78nm,0.0
832.78nm,0.0
389.01nm,0.0
389.01nm,0.0
834.92nm,0.0
834.92nm,0.0
834.92nm,0.0
834.92nm,0.0
834.92nm,0.0
834.92nm,0.0
834.92nm,0.0
834.92nm,0.0
389.01nm,0.0
837.06nm,0.0
837.06nm,0.0
837.06nm,0.0
837.06nm,0.0
837.06nm,0.0
837.06nm,0.0
837.06nm,0.0
837.06nm,0.0
389.01nm,0.0
839.21nm,0.0
839.21nm,0.0
839.21nm,0.0
839.21nm,0.0
839.21nm,0.0
839.21nm,0.0
839.21nm,0.0
839.21nm,0.0
389.01nm,0.0
841.35nm,0.0
841.35nm,0.0
841.35nm,0.0
841.35nm,0.0
841.35nm,0.0
841.35nm,0.0
841.35nm,0.0
841.35nm,0.0
389.01nm,0.0
843.49nm,0.0
843.49nm,0.0
843.49nm,0.0
843.49nm,0.0
843.49nm,0.0
843.49nm,0.0
843.49nm,0.0
843.49nm,0.0
843.49nm,0.0
845.64nm,0.0
845.64nm,0.0
845.64nm,0.0
845.64nm,0.0
845.64nm,0.0
845.64nm,0.0
845.64nm,0.0
845.64nm,0.0
845.64nm,0.0
847.78nm,0.0
847.78nm,0.0
847.78nm,0.0
847.78nm,0.0
847.78nm,0.0
847.78nm,0.0
847.78nm,0.0
847.78nm,0.0
847.78nm,0.0
849.93nm,0.0
849.93nm,0.0
849.93nm,0.0
849.93nm,0.0
849.93nm,0.0
849.93nm,0.0
849.93nm,0.0
849.93nm,0.0
389.01nm,0.0
852.07nm,0.0
852.07nm,0.0
852.07nm,0.0
852.07nm,0.0
852.07nm,0.0
852.07nm,0.0
852.07nm,0.0
852.07nm,0.0
389.01nm,0.0
854.21nm,0.0
854.21nm,0.0
854.21nm,0.0
854.21nm,0.0
854.21nm,0.0
854.21nm,0.0
854.21nm,0.0
854.21nm,0.0
391.15nm,0.0
856.36nm,0.0
391.15nm,0.0
391.15nm,0.0
856.36nm,0.0
856.36nm,0.0
856.36nm,0.0
856.36nm,0.0
856.36nm,0.0
391.15nm,0.0
858.50nm,0.0
858.50nm,0.0
858.50nm,0.0
858.50nm,0.0
858.50nm,0.0
858.50nm,0.0
858.50nm,0.0
858.50nm,0.0
391.15nm,0.0
860.65nm,0.0
391.15nm,0.0
860.65nm,0.0
860.65nm,0.0
860.65nm,0.0
860.65nm,0.0
860.65nm,0.0
860.65nm,0.0
391.15nm,0.0
862.79nm,0.0
391.15nm,0.0
862.79nm,0.0
862.79nm,0.0
862.79nm,0.0
862.79nm,0.0
862.79nm,0.0
862.79nm,0.0
393.29nm,0.0
864.93nm,0.0
864.93nm,0.0
864.93nm,0.0
864.93nm,0.0
864.93nm,0.0
864.93nm,0.0
864.93nm,0.0
864.93nm,0.0
393.29nm,0.0
867.08nm,0.0
393.29nm,0.0
867.08nm,0.0
867.08nm,0.0
867.08nm,0.0
867.08nm,0.0
867.08nm,0.0
867.08nm,0.0
393.29nm,0.0
869.22nm,0.0
393.29nm,0.0
869.22nm,0.0
869.22nm,0.0
869.22nm,0.0
869.22nm,0.0
869.22nm,0.0
869.22nm,0.0
393.29nm,0.0
871.36nm,0.0
393.29nm,0.0
871.36nm,0.0
871.36nm,0.0
871.36nm,0.0
871.36nm,0.0
871.36nm,0.0
871.36nm,0.0
393.29nm,0.0
873.51nm,0.0
393.29nm,0.0
873.51nm,0.0
873.51nm,0.0
873.51nm,0.0
873.51nm,0.0
873.51nm,0.0
873.51nm,0.0
395.44nm,0.0
875.65nm,0.0
395.44nm,0.0
875.65nm,0.0
875.65nm,0.0
875.65nm,0.0
875.65nm,0.0
875.65nm,0.0
395.44nm,0.0
395.44nm,0.0
877.80nm,0.0
395.44nm,0.0
877.80nm,0.0
877.80nm,0.0
877.80nm,0.0
877.80nm,0.0
877.80nm,0.0
877.80nm,0.0
395.44nm,0.0
879.94nm,0.0
395.44nm,0.0
879.94nm,0.0
879.94nm,0.0
879.94nm,0.0
879.94nm,0.0
879.94nm,0.0
395.44nm,0.0
395.44nm,0.0
882.08nm,0.0
882.08nm,0.0
882.08nm,0.0
882.08nm,0.0
882.08nm,0.0
882.08nm,0.0
882.08nm,0.0
397.58nm,0.0
397.58nm,0.0
884.23nm,0.0
884.23nm,0.0
884.23nm,0.0
884.23nm,0.0
884.23nm,0.0
884.23nm,0.0
884.23nm,0.0
884.23nm,0.0
397.58nm,0.0
886.37nm,0.0
886.37nm,0.0
886.37nm,0.0
886.37nm,0.0
886.37nm,0.0
886.37nm,0.0
886.37nm,0.0
397.58nm,0.0
397.58nm,0.0
888.52nm,0.0
888.52nm,0.0
888.52nm,0.0
888.52nm,0.0
888.52nm,0.0
888.52nm,0.0
888.52nm,0.0
397.58nm,0.0
397.58nm,0.0
890.66nm,0.0
890.66nm,0.0
890.66nm,0.0
890.66nm,0.0
890.66nm,0.0
890.66nm,0.0
890.66nm,0.0
397.58nm,0.0
397.58nm,0.0
892.80nm,0.0
892.80nm,0.0
892.80nm,0.0
892.80nm,0.0
892.80nm,0.0
892.80nm,0.0
892.80nm,0.0
399.73nm,0.0
399.73nm,0.0
894.95nm,0.0
894.95nm,0.0
894.95nm,0.0
894.95nm,0.0
894.95nm,0.0
894.95nm,0.0
894.95nm,0.0
399.73nm,0.0
399.73nm,0.0
897.09nm,0.0
897.09nm,0.0
897.09nm,0.0
897.09nm,0.0
897.09nm,0.0
897.09nm,0.0
897.09nm,0.0
399.73nm,0.0
399.73nm,0.0
899.23nm,0.0
899.23nm,0.0
899.23nm,0.0
899.23nm,0.0
899.23nm,0.0
899.23nm,0.0
899.23nm,0.0
399.73nm,0.0
399.73nm,0.0
901.38nm,0.0
901.38nm,0.0
901.38nm,0.0
901.38nm,0.0
901.38nm,0.0
901.38nm,0.0
901.38nm,0.0
901.38nm,0.0
401.87nm,0.0
903.52nm,0.0
903.52nm,0.0
903.52nm,0.0
903.52nm,0.0
903.52nm,0.0
903.52nm,0.0
903.52nm,0.0
401.87nm,0.0
401.87nm,0.0
905.67nm,0.0
905.67nm,0.0
905.67nm,0.0
905.67nm,0.0
905.67nm,0.0
905.67nm,0.0
905.67nm,0.0
905.67nm,0.0
401.87nm,0.0
907.81nm,0.0
907.81nm,0.0
907.81nm,0.0
907.81nm,0.0
907.81nm,0.0
907.81nm,0.0
907.81nm,0.0
401.87nm,0.0
401.87nm,0.0
909.95nm,0.0
909.95nm,0.0
909.95nm,0.0
909.95nm,0.0
909.95nm,0.0
909.95nm,0.0
909.95nm,0.0
401.87nm,0.0
401.87nm,0.0
912.10nm,0.0
912.10nm,0.0
912.10nm,0.0
912.10nm,0.0
912.10nm,0.0
912.10nm,0.0
912.10nm,0.0
401.87nm,0.0
404.01nm,0.0
914.24nm,0.0
914.24nm,0.0
914.24nm,0.0
914.24nm,0.0
914.24nm,0.0
914.24nm,0.0
914.24nm,0.0
914.24nm,0.0
914.24nm,0.0
916.38nm,0.0
916.38nm,0.0
916.38nm,0.0
916.38nm,0.0
916.38nm,0.0
916.38nm,0.0
916.38nm,0.0
404.01nm,0.0
916.38nm,0.0
918.53nm,0.0
918.53nm,0.0
918.53nm,0.0
918.53nm,0.0
918.53nm,0.0
918.53nm,0.0
918.53nm,0.0
404.01nm,0.0
918.53nm,0.0
920.67nm,0.0
920.67nm,0.0
920.67nm,0.0
920.67nm,0.0
920.67nm,0.0
920.67nm,0.0
920.67nm,0.0
404.01nm,0.0
920.67nm,0.0
922.82nm,0.0
922.82nm,0.0
922.82nm,0.0
922.82nm,0.0
922.82nm,0.0
922.82nm,0.0
922.82nm,0.0
404.01nm,0.0
922.82nm,0.0
924.96nm,0.0
924.96nm,0.0
924.96nm,0.0
924.96nm,0.0
924.96nm,0.0
924.96nm,0.0
924.96nm,0.0
404.01nm,0.0
924.96nm,0.0
927.10nm,0.0
927.10nm,0.0
927.10nm,0.0
927.10nm,0.0
927.10nm,0.0
927.10nm,0.0
927.10nm,0.0
927.10nm,0.0
927.10nm,0.0
929.25nm,0.0
929.25nm,0.0
929.25nm,0.0
929.25nm,0.0
929.25nm,0.0
929.25nm,0.0
929.25nm,0.0
929.25nm,0.0
929.25nm,0.0
931.39nm,0.0
931.39nm,0.0
931.39nm,0.0
931.39nm,0.0
931.39nm,0.0
931.39nm,0.0
931.39nm,0.0
404.01nm,0.0
931.39nm,0.0
933.54nm,0.0
933.54nm,0.0
933.54nm,0.0
933.54nm,0.0
933.54nm,0.0
933.54nm,0.0
933.54nm,0.0
933.54nm,0.0
933.54nm,0.0
935.68nm,0.0
935.68nm,0.0
935.68nm,0.0
935.68nm,0.0
935.68nm,0.0
935.68nm,0.0
935.68nm,0.0
856.36nm,0.0
935.68nm,0.0
937.82nm,0.0
937.82nm,0.0
937.82nm,0.0
404.01nm,0.0
937.82nm,0.0
937.82nm,0.0
937.82nm,0.0
937.82nm,0.0
937.82nm,0.0
939.97nm,0.0
939.97nm,0.0
406.16nm,0.0
939.97nm,0.0
939.97nm,0.0
939.97nm,0.0
939.97nm,0.0
939.97nm,0.0
406.16nm,0.0
942.11nm,0.0
406.16nm,0.0
406.16nm,0.0
942.11nm,0.0
942.11nm,0.0
942.11nm,0.0
942.11nm,0.0
942.11nm,0.0
942.11nm,0.0
944.25nm,0.0
406.16nm,0.0
944.25nm,0.0
944.25nm,0.0
944.25nm,0.0
406.16nm,0.0
944.25nm,0.0
944.25nm,0.0
406.16nm,0.0
946.40nm,0.0
406.16nm,0.0
946.40nm,0.0
946.40nm,0.0
946.40nm,0.0
406.16nm,0.0
946.40nm,0.0
946.40nm,0.0
946.40nm,0.0
948.54nm,0.0
408.30nm,0.0
948.54nm,0.0
948.54nm,0.0
948.54nm,0.0
408.30nm,0.0
948.54nm,0.0
948.54nm,0.0
408.30nm,0.0
950.69nm,0.0
408.30nm,0.0
950.69nm,0.0
950.69nm,0.0
950.69nm,0.0
408.30nm,0.0
950.69nm,0.0
950.69nm,0.0
408.30nm,0.0
952.83nm,0.0
952.83nm,0.0
952.83nm,0.0
952.83nm,0.0
952.83nm,0.0
408.30nm,0.0
952.83nm,0.0
952.83nm,0.0
408.30nm,0.0
954.97nm,0.0
954.97nm,0.0
954.97nm,0.0
954.97nm,0.0
954.97nm,0.0
410.44nm,0.0
954.97nm,0.0
954.97nm,0.0
954.97nm,0.0
957.12nm,0.0
957.12nm,0.0
957.12nm,0.0
957.12nm,0.0
957.12nm,0.0
957.12nm,0.0
957.12nm,0.0
957.12nm,0.0
957.12nm,0.0
959.26nm,0.0
959.26nm,0.0
959.26nm,0.0
959.26nm,0.0
959.26nm,0.0
410.44nm,0.0
959.26nm,0.0
959.26nm,0.0
959.26nm,0.0
961.40nm,0.0
961.40nm,0.0
961.40nm,0.0
961.40nm,0.0
961.40nm,0.0
410.44nm,0.0
961.40nm,0.0
961.40nm,0.0
410.44nm,0.0
963.55nm,0.0
963.55nm,0.0
963.55nm,0.0
963.55nm,0.0
963.55nm,0.0
410.44nm,0.0
963.55nm,0.0
963.55nm,0.0
963.55nm,0.0
965.69nm,0.0
965.69nm,0.0
965.69nm,0.0
965.69nm,0.0
965.69nm,0.0
410.44nm,0.0
965.69nm,0.0
965.69nm,0.0
965.69nm,0.0
967.84nm,0.0
967.84nm,0.0
967.84nm,0.0
410.44nm,0.0
967.84nm,0.0
967.84nm,0.0
967.84nm,0.0
967.84nm,0.0
967.84nm,0.0
969.98nm,0.0
969.98nm,0.0
969.98nm,0.0
969.98nm,0.0
969.98nm,0.0
969.98nm,0.0
969.98nm,0.0
969.98nm,0.0
969.98nm,0.0
972.12nm,0.0
972.12nm,0.0
972.12nm,0.0
412.59nm,0.0
972.12nm,0.0
972.12nm,0.0
972.12nm,0.0
972.12nm,0.0
412.59nm,0.0
974.27nm,0.0
974.27nm,0.0
974.27nm,0.0
974.27nm,0.0
974.27nm,0.0
412.59nm,0.0
974.27nm,0.0
974.27nm,0.0
974.27nm,0.0
976.41nm,0.0
976.41nm,0.0
976.41nm,0.0
976.41nm,0.0
976.41nm,0.0
412.59nm,0.0
976.41nm,0.0
976.41nm,0.0
976.41nm,0.0
978.56nm,0.0
978.56nm,0.0
978.56nm,0.0
978.56nm,0.0
978.56nm,0.0
412.59nm,0.0
978.56nm,0.0
978.56nm,0.0
978.56nm,0.0
980.70nm,0.0
980.70nm,0.0
980.70nm,0.0
412.59nm,0.0
980.70nm,0.0
412.59nm,0.0
980.70nm,0.0
980.70nm,0.0
980.70nm,0.0
982.84nm,0.0
982.84nm,0.0
982.84nm,0.0
982.84nm,0.0
982.84nm,0.0
982.84nm,0.0
982.84nm,0.0
982.84nm,0.0
982.84nm,0.0
984.99nm,0.0
984.99nm,0.0
984.99nm,0.0
412.59nm,0.0
984.99nm,0.0
984.99nm,0.0
984.99nm,0.0
984.99nm,0.0
984.99nm,0.0
987.13nm,0.0
987.13nm,0.0
987.13nm,0.0
987.13nm,0.0
987.13nm,0.0
414.73nm,0.0
987.13nm,0.0
987.13nm,0.0
987.13nm,0.0
989.27nm,0.0
989.27nm,0.0
989.27nm,0.0
414.73nm,0.0
989.27nm,0.0
414.73nm,0.0
989.27nm,0.0
989.27nm,0.0
989.27nm,0.0
991.42nm,0.0
991.42nm,0.0
991.42nm,0.0
991.42nm,0.0
991.42nm,0.0
991.42nm,0.0
991.42nm,0.0
991.42nm,0.0
991.42nm,0.0
993.56nm,0.0
993.56nm,0.0
993.56nm,0.0
414.73nm,0.0
993.56nm,0.0
414.73nm,0.0
993.56nm,0.0
993.56nm,0.0
993.56nm,0.0
995.71nm,0.0
995.71nm,0.0
995.71nm,0.0
995.71nm,0.0
995.71nm,0.0
414.73nm,0.0
995.71nm,0.0
995.71nm,0.0
995.71nm,0.0
997.85nm,0.0
997.85nm,0.0
997.85nm,0.0
997.85nm,0.0
997.85nm,0.0
997.85nm,0.0
997.85nm,0.0
997.85nm,0.0
997.85nm,0.0
999.99nm,0.0
999.99nm,0.0
999.99nm,0.0
999.99nm,0.0
999.99nm,0.0
414.73nm,0.0
999.99nm,0.0
999.99nm,0.0
999.99nm,0.0
1002.14nm,0.0
1002.14nm,0.0
1002.14nm,0.0
414.73nm,0.0
1002.14nm,0.0
414.73nm,0.0
1002.14nm,0.0
1002.14nm,0.0
1002.14nm,0.0
1004.28nm,0.0
1004.28nm,0.0
1004.28nm,0.0
1004.28nm,0.0
1004.28nm,0.0
1004.28nm,0.0
1004.28nm,0.0
1004.28nm,0.0
1004.28nm,0.0
1006.42nm,0.0
1006.42nm,0.0
1006.42nm,0.0
416.88nm,0.0
1006.42nm,0.0
1006.42nm,0.0
1006.42nm,0.0
1006.42nm,0.0
1006.42nm,0.0
1008.57nm,0.0
1008.57nm,0.0
1008.57nm,0.0
416.88nm,0.0
1008.57nm,0.0
416.88nm,0.0
1008.57nm,0.0
1008.57nm,0.0
1012.86nm,0.0
1012.86nm,0.0
1012.86nm,0.0
1015.00nm,0.0
1015.00nm,0.0
1015.00nm,0.0
416.88nm,0.0
1015.00nm,0.0
416.88nm,0.0
1015.00nm,0.0
1015.00nm,0.0
1015.00nm,0.0
spectrum_slope,0.0
total_intensity,0.0
416.88nm,0.0
416.88nm,0.0
374.00nm,0.0
374.00nm,0.0
374.00nm,0.0
374.00nm,0.0
374.00nm,0.0
374.00nm,0.0
374.00nm,0.0
374.00nm,0.0
374.00nm,0.0
376.14nm,0.0
376.14nm,0.0
376.14nm,0.0
416.88nm,0.0
376.14nm,0.0
376.14nm,0.0
376.14nm,0.0
